                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.767,                 4.0095,                 1.5422,                0.00225,                0.05969,                0.01137,                0.00505,                 1.3594,                 3.9672,                 1.2583,               0.000175,               0.000175,               0.000175
                      2,                 1.5735,                 3.0078,                 1.2947,                0.03543,                0.30987,                0.14861,                0.08027,                 1.5724,                 3.4249,                 1.3555,              0.0003613,              0.0003613,              0.0003613
                      3,                  1.574,                 2.3247,                 1.2526,                0.71993,                0.21668,                0.20123,                0.11098,                 1.5582,                 2.5635,                 1.2789,             0.00054637,             0.00054637,             0.00054637
                      4,                 1.5486,                 2.0098,                 1.2136,                 0.1703,                0.31644,                0.20107,                0.10912,                 1.5043,                 1.7894,                 1.2957,              0.0007302,              0.0007302,              0.0007302
                      5,                 1.5144,                 1.8316,                 1.1904,                0.16768,                0.31474,                0.20643,                0.11649,                 1.4348,                 1.7764,                 1.2074,             0.00091279,             0.00091279,             0.00091279
                      6,                 1.4789,                 1.7123,                 1.2094,                0.21478,                 0.3508,                0.24575,                0.14094,                 1.4149,                 1.7237,                 1.2239,              0.0010941,              0.0010941,              0.0010941
                      7,                 1.4344,                 1.6193,                 1.2159,                0.23212,                0.31792,                0.23815,                0.11949,                 1.6771,                 1.7825,                 1.3241,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.4417,                 1.6217,                 1.1962,                0.20049,                0.38775,                0.23115,                0.12962,                 1.4145,                 1.7328,                 1.2057,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.3905,                 1.5613,                 1.1804,                0.22074,                0.39175,                0.24928,                0.14379,                 1.3839,                 1.7289,                    1.2,              0.0012211,              0.0012211,              0.0012211
                     10,                  1.366,                 1.4946,                 1.1836,                0.20769,                 0.3139,                0.23431,                0.13767,                  1.377,                  1.884,                  1.208,               0.001217,               0.001217,               0.001217
                     11,                 1.3297,                 1.4286,                 1.1541,                0.48116,                0.32104,                0.26715,                0.15903,                 1.3454,                 1.6798,                 1.1702,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.3723,                 1.5381,                 1.1753,                0.31878,                0.37729,                0.28019,                0.16022,                 1.3332,                 1.8047,                  1.149,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.3612,                 1.4481,                  1.165,                 0.2457,                0.39901,                0.28701,                0.16968,                 1.3234,                   1.59,                 1.1688,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.3256,                 1.3941,                 1.1508,                0.27232,                0.38195,                0.28438,                0.16907,                 1.3448,                  1.679,                 1.1552,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.3168,                 1.4617,                 1.1426,                0.26925,                0.32529,                 0.2672,                0.15929,                 1.3318,                 1.8642,                 1.1721,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.3192,                 1.3799,                  1.165,                0.22771,                0.41722,                0.26086,                0.15703,                 1.3096,                 1.7227,                 1.2115,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.3104,                 1.4108,                 1.1478,                0.24681,                0.34874,                0.25602,                0.15766,                  1.263,                 1.7726,                  1.152,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.2998,                 1.3603,                  1.155,                0.38473,                0.38575,                 0.3143,                0.19287,                 1.2933,                 1.6397,                 1.1459,               0.001184,               0.001184,               0.001184
                     19,                 1.3051,                 1.3309,                   1.14,                0.28733,                0.36074,                0.31332,                0.18886,                 1.2848,                 1.5601,                 1.1496,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.3062,                 1.2836,                 1.1247,                0.28891,                0.45808,                0.31464,                0.19267,                 1.2738,                  1.436,                 1.1573,              0.0011757,              0.0011757,              0.0011757
